(1177581266.9+0j),(-588783264.88+1019802090.97j)
(-566985.611172+758338.652049j),(-373248.128081-870189.086111j)
(-576979.988499+727414.13957j),(-341457.867344-863388.774001j)
(-649923.708053+725185.393464j),(-303093.682579-925424.046733j)
(-618860.949262+732051.76087j),(-324540.70998-901958.152626j)
(-561299.743639+703516.343447j),(-328634.406809-837821.095094j)
(-578163.487036+707093.280099j),(-323254.402029-854263.037354j)
(-591786.409607+677369.877178j),(-290706.579187-851185.232292j)
(-567100.108429+657011.788601j),(-285437.522963-819611.455815j)
(-586929.647502+715803.242785j),(-326436.260783-866174.509184j)
(-598144.357508+704056.565492j),(-310637.369191-870033.417322j)
(-612989.038893+734736.785715j),(-329809.724381-898235.405137j)
(-570120.921368+671256.177743j),(-296273.338183-829342.65797j)
(-625211.205518+671904.036998j),(-269273.890825-877408.211004j)
(-590987.506896+757212.48548j),(-360275.664968-890430.868377j)
(-547954.986637+724477.618925j),(-353419.243299-836761.632333j)
(-601563.717382+699480.381735j),(-304985.526896-870697.206959j)
(-625689.762463+691936.393721j),(-286384.1444-887823.749008j)
(-624571.496891+654752.339338j),(-254734.312011-868248.57422j)
(-545554.879144+671647.691878j),(-308868.514084-808248.840124j)
(-604549.037543+693793.163481j),(-298589.695014-870482.256084j)
(-617183.935863+750466.558312j),(-341356.760951-909743.111633j)
(-560334.276741+618501.716217j),(-255475.726372-794518.32809j)
(-673769.563396+638519.310055j),(-216095.014813-902773.490308j)
(-586385.490722+662651.004531j),(-280699.083648-839156.199994j)
(-643440.660966+690658.29277j),(-276408.617011-902547.304604j)
(-532399.130578+672021.158348j),(-315773.6897-797053.224432j)
(-594567.951155+587687.303132j),(-211666.605181-808761.526161j)
(-567903.406022+676118.445458j),(-301580.670275-829889.820483j)
(-562173.153105+670330.695362j),(-299422.391882-822000.716757j)
(-629545.817986+740387.836865j),(-326419.387419-915398.82462j)
(-587740.26951+649961.3789j),(-269003.537987-834010.519106j)
(-661039.507865+612677.461095j),(-200055.230758-878842.179539j)
(-581439.840293+608137.527358j),(-235953.204579-807603.939784j)
(-594964.586867+616557.058782j),(-236469.438691-823550.754351j)
(-616816.153739+688646.578622j),(-287941.19261-878498.768953j)
(-593398.509836+687310.747909j),(-298517.200846-857550.058204j)
(-640966.505318+675381.85809j),(-264409.575879-892777.856058j)
(-574102.475797+602813.567258j),(-235006.067201-798590.017039j)
(-663325.261786+624807.915665j),(-209435.369278-886853.4691j)
(-574592.266816+734775.021095j),(-349061.491178-864996.092633j)
(-609670.569862+662612.025745j),(-269016.312816-859291.603122j)
(-607355.017937+629469.239472j),(-241463.636052-840708.14847j)
(-577374.321318+622433.631346j),(-250335.858972-811226.67848j)
(-620720.832002+669739.462988j),(-269641.887594-872408.944077j)
(-603032.823105+654380.376656j),(-265195.425795-849449.919314j)
(-628736.686747+657624.243336j),(-255154.346861-873305.843023j)
(-547362.220922+617436.648755j),(-261040.247741-782753.518756j)
(-582624.534442+634454.255273j),(-258173.70271-821789.378374j)
(-625234.448302+640859.100926j),(-242370.404471-861915.050798j)
(-605714.599048+686484.527901j),(-291658.360308-867797.593789j)
(-587621.811671+651229.049347j),(-270176.469544-834540.760847j)
(-574570.047055+651978.290414j),(-277334.005111-823599.160453j)
(-544038.593183+556197.625798j),(-209657.938731-749237.273468j)
(-585704.512829+601597.586986j),(-228152.19724-808042.459198j)
(-564648.902081+622126.197076j),(-256453.434582-800062.434456j)
(-568552.680361+606111.877335j),(-240634.483331-795452.086321j)
(-544474.176873+642669.060477j),(-284356.555393-792876.160084j)
(-589691.061253+574255.946985j),(-202465.602714-797813.633474j)
(-591092.125983+594346.928092j),(-219152.753742-809076.116449j)
(-615879.870674+540857.135548j),(-160432.608141-803799.26067j)
(-616465.107909+574536.688538j),(-189327.488312-821132.301234j)
(-565145.580787+602002.13339j),(-238754.063564-790426.687942j)
(-580858.912467+511474.170295j),(-152493.315632-758817.268303j)
(-608677.337812+579562.441074j),(-197561.649647-816934.575171j)
(-598169.08837+577873.071443j),(-201388.135401-806970.7645j)
(-606042.11083+616042.843225j),(-230481.30573-832860.271284j)
(-548644.574091+525649.489491j),(-180913.234554-737960.303895j)
(-664861.852339+559814.074133j),(-152409.742809-855700.872216j)
(-582103.545656+589225.945837j),(-219223.151043-798733.429348j)
(-633520.739684+515106.189468j),(-129343.586239-806189.335794j)
(-605545.834565+618533.87386j),(-232906.660099-833686.738308j)
(-601386.894227+571088.018642j),(-193902.977672-806351.327353j)
(-619309.487555+620196.981139j),(-227461.324075-846427.018815j)
(-651187.966546+506135.312343j),(-112744.029334-817016.452588j)
(-680843.512134+586281.083546j),(-167320.383143-882766.786638j)
(-583886.489218+625645.29407j),(-249873.342001-818488.392959j)
(-585962.16597+607730.999469j),(-233369.110658-811338.196305j)
(-595170.48852+590286.411957j),(-213610.795167-810573.771476j)
(-646221.195363+509470.422001j),(-118113.272355-814389.311958j)
(-629306.914595+548551.37184j),(-160398.786319-819290.644379j)
(-553648.186724+567356.064965j),(-214520.106067-763165.775177j)
(-571725.085172+578657.283576j),(-215261.962617-784450.917913j)
(-567462.221834+588092.737129j),(-225569.615476-785481.65463j)
(-558660.326818+517231.664702j),(-168622.803989-742430.386049j)
(-589938.770005+562091.178813j),(-191816.675825-791942.217663j)
(-625943.01829+555121.53117j),(-167779.742287-819681.356068j)
(-620144.67848+603947.432564j),(-212938.431536-839024.469749j)
(-564273.84149+549449.406417j),(-193685.766856-763405.589378j)
(-606154.544894+514877.08693j),(-142821.000352-782387.420718j)
(-591332.775149+529224.229283j),(-162663.661027-776723.78528j)
(-555261.295186+561295.710814j),(-208485.96625-761490.011273j)
(-578352.713984+570757.174288j),(-205102.709666-786234.326716j)
(-621061.735512+556000.005089j),(-170979.371274-815850.620523j)
(-619104.915554+505419.96996j),(-128167.874993-788860.913607j)
(-607494.738729+504914.534169j),(-133509.76901-778567.001012j)
(-582209.916704+505505.445072j),(-146676.357628-756958.84444j)
(-639853.709791+572390.360183j),(-175776.418795-840315.69608j)
(-551098.427757+493083.120588j),(-151473.631293-723812.74117j)
(-620822.299031+475041.086991j),(-100978.793321-775180.267931j)
(-600531.32894+523347.112499j),(-152981.606478-781744.627215j)
(-603199.541433+521563.996911j),(-150093.59125-783155.818102j)
(-566829.655895+590105.075652j),(-227630.443891-785949.289825j)
(-579294.630493+504703.232954j),(-147445.823756-754047.043093j)
(-610773.584967+519543.829731j),(-144540.968254-788711.80307j)
(-570595.021294+476479.374286j),(-127334.955697-732378.420026j)
(-615821.188775+514791.567864j),(-137922.122279-790715.714675j)
(-578420.57612+530560.775286j),(-170283.07147-766222.61683j)
(-601985.622931+483228.894577j),(-117507.886294-762964.983897j)
(-580505.164514+504093.469048j),(-146308.573363-754783.104708j)
(-552690.871226+458382.692308j),(-120610.314272-707845.015385j)
(-653232.112106+511046.23625j),(-115945.482928-821256.011048j)
(-568228.218461+522762.862738j),(-168601.646163-753474.743145j)
(-602631.84186+512161.998416j),(-142241.171433-777974.615203j)
(-564232.881031+485488.903822j),(-138340.785322-731389.906294j)
(-630258.873473+439692.596295j),(-65662.7296099-765684.477801j)
(-620955.639928+515947.327728j),(-136343.914741-795739.240236j)
(-563637.948179+455037.281069j),(-112232.410981-715631.699645j)
(-600027.566459+499784.197916j),(-132822.866495-769538.893188j)
(-556725.240384+458005.812368j),(-118268.222615-711147.611138j)
(-634654.827749+486571.285599j),(-104087.365915-792920.230746j)
(-611842.472207+476882.487032j),(-107076.174288-768309.034721j)
(-638693.896438+469473.823076j),(-87247.1893224-787855.871367j)
(-617260.045512+512383.316078j),(-135128.334429-790742.707102j)
(-605387.811281+480648.525167j),(-113566.908767-764598.075263j)
(-623885.163279+462654.959949j),(-88743.4408253-771621.187953j)
(-621838.412371+482934.479235j),(-107319.500181-779977.882957j)
(-634558.891118+516325.749434j),(-129885.301982-807703.703914j)
(-596128.727524+539112.00617j),(-168793.972955-785806.11643j)
(-579424.388274+483028.918128j),(-128607.531677-743304.263605j)
(-630718.880319+471789.971053j),(-93222.5889595-782096.332608j)
(-614892.413367+478594.595507j),(-107027.324966-771807.431358j)
(-607849.886634+467583.825489j),(-101004.134506-760207.675057j)
(-571246.157232+492682.489758j),(-141051.278984-741063.989137j)
(-589453.563069+506757.595193j),(-144147.757159-763850.967758j)
(-605681.47525+471766.377379j),(-105710.435235-760412.404014j)
(-579107.020616+431103.958845j),(-83779.1015465-717067.370874j)
(-588838.151077+456788.774159j),(-101180.719713-738348.042563j)
(-551346.589155+529427.498901j),(-182829.901027-742208.023164j)
(-557372.336647+470931.249302j),(-129136.789977-718147.418194j)
(-611086.646849+485750.757354j),(-115124.31827-772070.06788j)
(-566288.41179+446090.238093j),(-103201.95365-713472.130893j)
(-610075.340765+458842.716072j),(-92332.9245467-757788.195695j)
(-542961.910637+450128.486882j),(-118331.26141-695272.993952j)
(-581403.021783+435136.451076j),(-86135.1981561-721068.274803j)
(-569395.521467+483739.90922j),(-134233.221856-735000.322483j)
(-600223.883723+369134.42343j),(-19569.4293573-704373.474073j)
(-592977.385058+462915.067325j),(-104394.967142-744974.377757j)
(-580224.598257+426524.587485j),(-79278.0793939-715746.019943j)
(-626028.783561+444159.188837j),(-71637.6206168-764255.666929j)
(-583907.289243+407062.487371j),(-60574.5485987-709219.006225j)
(-632902.716391+370041.319598j),(-4004.65260998-733120.712057j)
(-581797.858626+438035.114655j),(-88443.3184028-722873.879424j)
(-577557.489391+425643.578067j),(-79832.6054906-713000.057082j)
(-595811.101238+446947.711454j),(-89163.1805026-739461.945931j)
(-588924.597298+377869.572724j),(-32806.6189833-698954.159688j)
(-655858.447518+414539.739727j),(-31066.4927155-775263.680107j)
(-573123.29799+442661.439624j),(-96806.8500253-717651.199547j)
(-610096.039594+417659.618307j),(-56672.6824414-737170.352739j)
(-629690.143482+477419.60962j),(-98621.4300162-784027.016375j)
(-617370.210494+399136.588275j),(-36964.2990545-734208.52225j)
(-625287.332858+424685.292905j),(-55134.547913-753858.187462j)
(-627059.254127+390673.772865j),(-24798.4387418-738386.70896j)
(-654801.704431+475480.090879j),(-84384.10308-804813.837578j)
(-552933.02532+448083.505597j),(-111561.46578-702891.217152j)
(-595859.990935+417371.892387j),(-63521.0888635-724708.359704j)
(-592786.688967+435374.723639j),(-80662.3822606-731058.087659j)
(-588260.915359+425554.438238j),(-74398.3094414-722234.103487j)
(-594188.094461+443312.473019j),(-86824.1420776-736227.841733j)
(-608278.619234+429312.713859j),(-67658.8522723-741444.043389j)
(-586033.100273+418206.415448j),(-69170.8591256-716623.2141j)
(-595289.841204+403860.771126j),(-52092.8884147-717459.74123j)
(-593174.371337+401502.67164j),(-51145.9567927-714452.757236j)
(-609241.940036+406644.919471j),(-47530.7255153-730951.233893j)
(-576825.572705+409773.202575j),(-66461.3780007-704452.826391j)
(-618883.517303+410609.209453j),(-46156.033399-741268.617881j)
(-619803.69986+433505.589137j),(-65494.721093-753514.624492j)
(-625379.565184+389213.367922j),(-24379.9544133-736188.461377j)
(-618018.723351+400165.685463j),(-37544.7760648-735313.030187j)
(-563427.24626+408903.179472j),(-72410.9297508-692395.76651j)
(-593233.916283+369584.488789j),(-23438.9673555-698549.117198j)
(-571233.777036+380490.869696j),(-43889.3320579-684977.850268j)
(-607987.43531+406736.500601j),(-48244.4144542-729889.749329j)
(-609630.628025+417205.334998j),(-56482.9444084-736552.473929j)
(-563454.679319+354626.786913j),(-25379.5990255-665273.442761j)
(-613924.121795+392518.117933j),(-32956.9511726-727934.173029j)
(-549934.365078+399327.312859j),(-70870.7500191-675923.247453j)
(-653657.335055+373595.910981j),(3261.48614853-752886.412198j)
(-607027.339564+420393.910458j),(-60553.5454312-735910.895763j)
(-574485.757052+376351.87663j),(-38701.1050915-685688.45962j)
(-576693.849659+432561.1422j),(-86250.6684466-715723.279384j)
(-609218.533674+344166.184124j),(6542.23686487-699673.218653j)
(-622797.912988+393985.125627j),(-29807.4184465-736339.896446j)
(-540778.480833+352604.633814j),(-34974.8292384-644630.601951j)
(-603078.329393+379169.036686j),(-26855.7177497-711856.830226j)
(-555316.176107+409372.450729j),(-76871.9337915-685615.625962j)
(-625838.458367+359724.339392j),(1384.23320288-721870.11204j)
(-624189.458382+357358.894433j),(2627.91580012-719251.931464j)
(-584904.096822+330004.78127j),(6651.51962326-671565.402363j)
(-589508.314338+356572.84154j),(-14030.0297879-688816.465752j)
(-550785.859224+361153.576348j),(-37380.6855498-657565.920808j)
(-613131.602008+367383.818104j),(-11623.320861-714672.410848j)
(-611558.01447+377143.171389j),(-20826.6519778-718204.208755j)
(-635941.304907+364021.744805j),(2709.18422723-732761.979042j)
(-604953.150151+388118.472134j),(-33631.2080418-717972.644927j)
(-556241.431393+305550.853984j),(13502.3025195-634492.10931j)
(-634126.157328+324348.188559j),(36169.5910988-711336.269963j)
(-631452.03726+329339.991841j),(30520.4019897-711542.488319j)
(-619815.00013+347492.559298j),(8968.41355027-710514.83287j)
(-571141.628201+351014.333009j),(-18424.0577876-670121.813913j)
(-626398.800562+374562.672446j),(-11186.843036-729767.655542j)
(-624456.019205+370571.149182j),(-8696.39434265-726086.255244j)
(-632012.731605+338390.017918j),(22925.4827647-716525.331542j)
(-637372.13186+341070.160489j),(23307.541069-722497.346313j)
(-627902.322748+406241.503671j),(-37858.2257451-746897.530103j)
(-575314.470626+384994.521357j),(-45742.8975917-690736.819856j)
(-613958.472066+359413.283248j),(-4271.32289962-711413.666728j)
(-614104.738699+378432.960419j),(-20681.4015165-721032.14599j)
(-621570.246069+349360.193749j),(8222.6898209-712970.951498j)
(-571366.619354+387170.379778j),(-49609.3622967-688394.347832j)
(-586197.77668+338132.080763j),(247.580961986-676736.506962j)
(-598444.014452+365436.080223j),(-17269.6009608-700999.974414j)
(-604826.059971+321877.858488j),(23677.8225663-684748.168884j)
(-607225.161358+369804.682965j),(-16645.6596693-710775.520691j)
(-567025.928591+377973.155104j),(-43846.229505-680042.041017j)
(-608333.351432+324720.216315j),(22920.2342785-689197.506352j)
(-580893.030478+334720.297504j),(574.451923652-670435.507594j)
(-566261.644446+301791.003176j),(21775.1834629-641295.919365j)
(-620827.864997+362156.637913j),(-3226.50500473-718727.623963j)
(-551028.303308+360094.419747j),(-36322.3400838-657264.014439j)
(-555538.800873+335690.977618j),(-12947.2290874-648960.903219j)
(-551970.392875+332440.490619j),(-11910.6523215-644244.445943j)
(-637559.619545+288970.629838j),(68525.5834717-696614.855464j)
(-618011.574598+364950.747111j),(-7028.07907134-717703.442327j)
(-587380.84986+248158.849232j),(78775.4600534-632764.934912j)
(-586740.072361+346537.67904j),(-6751.27954228-681416.341502j)
(-536071.894527+290883.477687j),(16129.9188585-609693.02179j)
(-603783.512157+298293.366186j),(43545.9670119-672045.568672j)
(-615593.691782+319131.79147j),(31418.2174989-692692.279325j)
(-672917.355004+326934.505704j),(53331.8168483-746225.182454j)
(-571868.295774+339566.441951j),(-8131.59053283-665032.339546j)
(-579714.536906+251128.825902j),(72365.3533034-627600.473092j)
(-595386.61145+304187.48905j),(34242.6897814-667716.998973j)
(-590196.140664+319170.167222j),(18672.0839325-670713.644621j)
(-627127.414143+331905.274378j),(26116.4568651-709061.058029j)
(-612261.09971+326075.974922j),(23744.6274741-693261.843274j)
(-598432.774701+299487.763432j),(39843.9410695-667997.070829j)
(-609559.10111+319305.283713j),(28253.5193117-687546.053884j)
(-625070.073696+299748.140427j),(52943.0876449-691193.698635j)
(-634675.307876+323247.17949j),(37406.2653399-711280.377013j)
(-573685.021616+304091.07429j),(23508.0531216-648877.430668j)
(-593784.632343+329588.1211j),(11447.7275092-679019.570567j)
(-603005.804466+341998.717691j),(5317.54189065-693241.871689j)
(-650558.426855+283601.525066j),(79665.0906755-705216.782209j)
(-639841.075023+308963.725019j),(52346.4165386-708606.313902j)
(-560504.675452+312415.513518j),(9667.53024323-641628.829688j)
(-545046.651309+296513.613699j),(15741.6463456-620274.578536j)
(-596284.728404+292678.360618j),(44662.6276102-662721.361293j)
(-620204.623806+311400.34334j),(40433.8460191-692797.876559j)
(-645787.732793+312285.108681j),(52439.0233693-715441.733697j)
(-600025.934818+285013.179119j),(53164.9828899-662151.976423j)
(-596305.911232+284243.102094j),(52001.4736655-658530.873965j)
(-566763.100809+295206.806761j),(27737.4330325-638426.802096j)
(-630940.533984+250726.026631j),(98344.4491317-671785.212663j)
(-610498.680149+323385.191329j),(25192.3853393-690394.525069j)
(-567917.075243+306176.973078j),(18812.5385809-644889.341723j)
(-594310.19939+340889.158654j),(1927.90073648-685155.033374j)
(-570667.84307+298862.824821j),(26506.1383733-643657.576993j)
(-630810.771191+268914.452033j),(82513.5455201-680762.939485j)
(-597610.246654+270536.914889j),(64513.3799456-652796.470534j)
(-615922.5459+287693.861625j),(58826.6030738-677242.717585j)
(-564419.843066+316769.879212j),(7868.27465699-647171.052169j)
(-542036.399095+267007.454597j),(39767.2558753-602919.221304j)
(-652294.575266+295242.787626j),(70457.3968631-712523.977652j)
(-603611.312027+275801.942603j),(62957.2980795-660650.986416j)
(-622583.532368+269251.83883j),(78099.2404699-673804.663732j)
(-585977.053275+306082.53916j),(27915.873212-660518.554591j)
(-582582.949559+263825.670937j),(62814.0777147-636452.934637j)
(-579002.214751+292593.321054j),(36101.3283417-647752.981914j)
(-586364.063031+238258.588861j),(86839.9154966-626929.125674j)
(-604297.545033+332677.693997j),(14015.6991954-689660.776948j)
(-535630.043633+278944.662212j),(26244.8540807-603341.436915j)
(-612682.911852+223135.760088j),(113096.256883-642163.83014j)
(-560388.106566+241971.072433j),(70643.1475884-606296.57416j)
(-577197.396316+237906.856298j),(82570.8576545-618831.181686j)
(-578769.794777+267792.242903j),(57480.6996294-635124.203426j)
(-606263.359716+286004.217362j),(55441.8618679-668042.675363j)
(-591704.819697+285165.838325j),(48885.6750201-655008.545778j)
(-587047.630093+207027.394408j),(114243.801641-611894.173788j)
(-659378.65922+218844.941118j),(140142.858207-680450.739934j)
(-641148.033183+249126.908928j),(104817.826862-679818.030319j)
(-584512.512546+232983.585808j),(90497.921007-622699.331378j)
(-576945.737386+252849.127615j),(69507.5923416-626064.192515j)
(-579452.601662+262397.162586j),(62495.0397144-633019.625256j)
(-626915.816964+233903.218887j),(110871.586371-659858.076611j)
(-643315.246695+243108.886831j),(111147.732292-678685.471843j)
(-641232.581647+247558.447086j),(106238.118097-679095.46418j)
(-598830.954916+232790.398321j),(97808.9960155-634968.333116j)
(-590316.886827+217843.396326j),(106480.146221-620143.800855j)
(-594734.648714+274664.598263j),(59513.9481714-652387.371153j)
(-613903.009556+303667.503319j),(43983.3322723-683499.280405j)
(-649997.663449+260824.962881j),(99126.3898008-693316.105246j)
(-637071.484907+283368.480403j),(73160.0547824-693416.788605j)
(-556853.991055+267199.616685j),(47038.115341-615859.918989j)
(-615343.894592+237405.788261j),(102068.002724-651595.628055j)
(-626180.734589+264580.623251j),(83957.5119927-674587.010691j)
(-604360.523321+247919.624788j),(87482.7228635-647348.510912j)
(-547704.341982+277703.666339j),(33357.6023193-613196.960636j)
(-594219.49145+211871.171037j),(113614.848475-620550.154985j)
(-601455.463788+274500.050672j),(62998.6801027-658150.293265j)
(-595277.578172+207126.823662j),(118271.140694-619094.390758j)
(-640127.777364+230943.090308j),(120065.012209-669843.990791j)
(-541254.650714+249169.863695j),(54832.6448997-593320.95974j)
(-551275.318674+225844.677218j),(80042.004062-590337.367912j)
(-572095.455051+250343.210351j),(69255.306022-620606.635088j)
(-634942.127047+228348.662267j),(119725.005424-664049.562144j)
(-597095.865599+244909.480821j),(86464.544907-639567.421145j)
(-554036.320336+201029.12678j),(102942.8691-580314.940195j)
(-572047.763027+237028.367031j),(80757.445199-613914.129174j)
(-537896.764951+215515.111071j),(82317.35949-573595.1574j)
(-590393.372229+174857.190259j),(143777.565491-598739.014962j)
(-619902.244826+244751.769724j),(97978.1415665-659229.868452j)
(-596582.067721+219760.173847j),(107966.4349-626542.904712j)
(-584469.717792+251216.429718j),(74657.3815739-631770.59104j)
(-601541.710137+187008.927327j),(138833.34292-614447.505301j)
(-644574.953966+188863.020826j),(158724.132521-652665.148891j)
(-597500.004581+184393.365656j),(139063.948354-609638.201197j)
(-611411.480087+204794.756787j),(128350.580425-631900.625281j)
(-558895.697432+274036.717853j),(42140.9324187-621036.149926j)
(-601566.754715+226916.253566j),(104271.760027-634438.435792j)
(-636786.093699+208588.671455j),(137738.292316-655764.675025j)
(-640854.99637+201226.157122j),(146178.351634-655613.976764j)
(-596283.476321+199241.733923j),(125598.016138-616042.15659j)
(-577674.344807+188379.800314j),(125707.651188-594482.894288j)
(-581305.692736+202868.45127j),(114975.944254-604871.61652j)
(-603194.80154+202652.451542j),(126091.604974-623692.469867j)
(-601814.860887+192350.774787j),(134325.749653-617373.563627j)
(-628559.469375+222880.332881j),(121247.651917-655793.074633j)
(-605067.138332+231249.428555j),(102259.820553-639634.436367j)
(-587952.719774+169259.138021j),(147386.851667-593818.37565j)
(-587408.022637+185474.460717j),(133091.004776-601460.820591j)
(-584277.769481+202930.076071j),(116389.033331-607470.716237j)
(-625636.74508+248785.169905j),(97346.3636607-666213.644906j)
(-599550.621258+235170.071679j),(96127.2970705-636807.632899j)
(-585921.263857+184869.819578j),(132864.573561-599845.337279j)
(-628016.502199+180938.421487j),(157293.188256-634350.520426j)
(-622522.322587+172558.788839j),(161812.876357-625410.276454j)
(-618478.979312+200148.264523j),(135901.100173-635691.858226j)
(-548289.09251+199231.298022j),(101616.61374-574451.880447j)
(-624062.108652+196875.534478j),(141530.737352-638881.95119j)
(-591567.493239+215483.179565j),(109169.746395-620069.784439j)
(-632733.353149+144127.208947j),(191551.278105-620026.053411j)
(-648117.486623+227187.289713j),(127309.545756-674875.093803j)
(-602465.81395+189751.487095j),(136906.023215-616626.081211j)
(-575873.918278+219774.399437j),(97590.5276308-608613.09535j)
(-527742.503247+176131.716565j),(111331.831021-545106.356246j)
(-641352.587127+217558.011661j),(132254.942347-664221.973j)
(-582778.343473+230610.004164j),(91684.8770604-620016.527352j)
(-627786.758472+180135.838799j),(157888.547507-633721.040486j)
(-598973.144876+201017.77882j),(125401.568494-619241.098934j)
(-571623.345229+166065.21736j),(141988.753808-578078.450794j)
(-606572.273833+181190.193651j),(146360.178172-615894.218859j)
(-598875.714144+185290.465562j),(138978.287962-611290.21071j)
(-600109.122043+203909.789477j),(123474.767601-621674.732998j)
(-564381.589704+191391.767493j),(116426.961705-584464.321842j)
(-586169.619546+148901.452709j),(164122.908057-582074.211167j)
(-618762.822163+215445.568679j),(122786.857929-643584.759096j)
(-590354.710915+150499.848827j),(164844.126728-586510.662591j)
(-594943.60131+168719.111537j),(151366.440452-599594.740394j)
(-499465.311346+172950.725246j),(99951.3708185-519010.391689j)
(-557647.668654+145410.79791j),(152882.976956-555639.222481j)
(-583418.016525+169088.214019j),(145287.268386-589792.94534j)
(-633958.183591+164360.715127j),(174636.55372-631188.409696j)
(-598077.071599+162682.11229j),(158133.269728-599295.046596j)
(-594824.30615+138014.100179j),(177898.352081-584150.841359j)
(-580085.758505+166625.512476j),(145748.012849-585691.949877j)
(-593584.766783+140880.419501j),(174769.82412-584502.279724j)
(-643252.297529+138758.175028j),(201443.201288-626460.592646j)
(-659171.56705+182804.23844j),(171269.983664-662258.43911j)
(-588596.894322+195035.884268j),(125392.466158-607271.676123j)
(-628760.653705+111347.458622j),(217964.881008-600183.43684j)
(-629318.960912+141630.455946j),(192016.372104-615795.893072j)
(-610811.60292+123064.364764j),(198827.382811-590504.897192j)
(-592209.070311+160971.94895j),(156695.250602-593349.878396j)
(-594067.916843+131485.824318j),(183164.982852-580216.45112j)
(-619253.334073+192265.824081j),(143125.079469-632428.442229j)
(-596176.539744+170531.590276j),(150411.43616-601561.703793j)
(-688120.475704+131059.179808j),(230551.653805-661450.249073j)
(-625356.14303+167512.150994j),(167624.184916-625342.010413j)
(-561322.899139+143328.290858j),(156539.280198-557793.203856j)
(-585010.214032+183351.214901j),(133701.249024-598291.26938j)
(-596274.331481+177858.761047j),(144115.000553-605315.636228j)
(-617767.739788+176304.811046j),(156196.757905-623136.323402j)
(-577830.842699+191362.91405j),(123177.76477-596107.825273j)
(-613976.352469+157387.925197j),(170667.973007-610416.383101j)
(-555371.865928+182420.140521j),(119707.311722-572167.391909j)
(-569629.493863+70346.2473443j),(223897.328077-528498.451809j)
(-632593.638979+177646.758217j),(162464.412086-636662.131148j)
(-565295.707811+168388.71355j),(136830.247368-573752.659322j)
(-611339.525607+156314.309305j),(170292.953751-607579.654724j)
(-561926.038644+154807.10107j),(146917.498191-564047.207775j)
(-619622.791055+115856.086375j),(209451.501474-594525.308193j)
(-563077.722222+126852.823178j),(171675.08755-551083.851404j)
(-610798.766475+111675.654867j),(208696.962974-584816.222798j)
(-599111.87977+188820.172245j),(136040.620712-613251.335365j)
(-547609.610271+126723.875269j),(164069.633704-537623.584798j)
(-591854.574278+127477.271735j),(185539.882063-576293.533243j)
(-586654.80866+141670.33563j),(170641.554928-578899.532442j)
(-600941.660205+112541.073948j),(202997.222678-576712.330562j)
(-605342.203877+108777.714207j),(208462.834789-578622.887263j)
(-580392.476544+86906.4233697j),(214930.01346-546086.200935j)
(-590810.638139+134949.304398j),(178528.399018-579130.07883j)
(-588947.780696+112762.44929j),(196814.322223-566426.27136j)
(-633055.505419+129849.893731j),(204062.572111-613168.133324j)
(-598425.281169+158262.600931j),(162169.453171-597382.861329j)
(-606116.762325+93225.453383j),(222328.304832-571502.717905j)
(-596348.1505+101655.357111j),(210131.963113-567265.436978j)
(-598670.066417+110346.476219j),(203788.635128-573646.485696j)
(-598009.426162+132122.774504j),(184578.214926-583939.32161j)
(-584605.9322+131565.185426j),(178346.877494-572074.927055j)
(-569372.220492+126061.76496j),(175502.170577-556132.869727j)
(-594736.374498+105503.233228j),(206008.461521-567793.69192j)
(-598721.212098+110865.382933j),(203338.541679-573951.916954j)
(-623848.291051+112023.108819j),(214901.568488-596281.167563j)
(-584511.039254+106555.985241j),(199976.236511-559463.877532j)
(-603175.050798+75774.3608911j),(235964.361093-560253.602329j)
(-568056.965275+144649.985384j),(158756.199092-564302.788291j)
(-568501.721469+101932.821706j),(195967.970259-543300.96778j)
(-668072.946737+142782.132727j),(210398.662558-649941.939112j)
(-629608.414458+110597.553971j),(219031.282296-600557.596882j)
(-611018.128326+94648.8021312j),(223525.759872-576496.835582j)
(-567569.487993+83746.4634265j),(211275.849941-533414.586869j)
(-629210.697438+97531.898723j),(230161.869576-593669.047845j)
(-588291.341764+117838.153732j),(192085.549273-568383.402335j)
(-590781.770272+70711.4474853j),(234156.674546-546992.328357j)
(-631743.04215+105434.449414j),(224577.820616-599812.895926j)
(-589192.323572+89988.6135732j),(216672.281566-555241.505368j)
(-606295.35006+65260.9671347j),(246628.698242-557696.432633j)
(-593540.492498+119267.076531j),(193482.26716-573646.821029j)
(-603904.065446+95697.8949499j),(219058.265178-570848.550762j)
(-594247.128504+125495.44948j),(188438.447077-577374.956451j)
(-582443.243268+105214.320348j),(200119.913868-557026.470731j)
(-634589.792057+153284.737955j),(184539.840691-626226.31598j)
(-583795.369201+111225.891715j),(195573.734312-561195.727116j)
(-632452.295617+85909.5531796j),(241821.663545-590673.610494j)
(-542221.574248+120879.030865j),(166429.180907-530017.241803j)
(-582338.540888+83306.9170492j),(219007.678276-545968.441738j)
(-595656.581905+116119.190155j),(197252.503145-573895.797686j)
(-601891.228608+107918.10679j),(207490.77245-575221.644837j)
(-594985.279611+109991.435412j),(202233.760306-570269.127719j)
(-591981.879469+63279.4050295j),(241207.739265-544313.844129j)
(-608515.275273+98054.3648875j),(219343.00808-576031.367099j)
(-555986.992936+88672.6038062j),(201200.416738-525830.258512j)
